Topic,Asked info or doc,Asked info or doc - Category
39,Ensure to provide all indoor papers,Indoor Papers
39,Ensure to provide TPR Chart,TPR Charts
39,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
39,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
40,Ensure to provide investigation reports to support diagnosis,Investigations
40,Ensure to provide TPR Chart,TPR Charts
41,"Doctor Letter providing the reason for prolonged stay, and case summary",Letter from Doctor or Hospital (Information)
42,Ensure to provide detailed bills with proper pre-numbering,Bill
43,Ensure to provide investigation reports to support diagnosis,Investigations
43,Ensure to provide Admission Notes,Admission Notes
43,Ensure to provide all indoor papers,Indoor Papers
43,Ensure to provide Nurse Notes,Nurse Notes
43,Ensure to provide TPR Chart,TPR Charts
43,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
44,Ensure you have provided bill as per the agreed tariff or packages only,Bill
45,Ensure to provide a cashless final bill with a detailed breakup with all the pages attached,Bill
46,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) ",KYC - Id Proof (Patient)
47,Ensure to provide Previous Pre Auth Approval Document,Claim Forms
48,Doctor certificate with aetiology and personal history,Letter from Doctor or Hospital (Information)
48,Ensure to provide details on the history of Alcohol Consumption preferrably on clinical notes,H/o Alcohol Consumptions (information)
49,Ensure you have provided bill as per the agreed tariff or packages only,Bill
49,Ensure to provide investigation reports to support diagnosis,Investigations
50,Ensure to provide cashless final bill with detailed breakup,Bill
51,Doctor Certificate with Personal History,Letter from Doctor or Hospital (Information)
52,Doctor Certificate with Personal History,Letter from Doctor or Hospital (Information)
52,Ensure to provide Admission Notes,Admission Notes
52,Ensure to provide all indoor papers,Indoor Papers
52,Ensure to provide Nurse Notes,Nurse Notes
52,Ensure to provide TPR Chart,TPR Charts
52,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
52,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
52,Ensure to provide Anaesthesia Notes along with OT Notes,Anaesthesia Notes
53,Ensure you have provided bill as per the agreed tariff or packages only,Bill
53,Ensure to provide Admission Notes,Admission Notes
53,Ensure to provide all indoor papers,Indoor Papers
53,Ensure to provide Nurse Notes,Nurse Notes
53,Ensure to provide TPR Chart,TPR Charts
53,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
53,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
54,Ensure to provide Document Check list for couriered documents in hospital letter,List of Documents
54,Ensure to provide investigation reports to support diagnosis,Investigations
54,Ensure to provide history and the duration of Ailment,Letter from Doctor or Hospital (Information)
54,Kindly Provide all previous consultation papers of patient,Previous Consultation Papers
54,Ensure to provide all indoor papers,Indoor Papers
54,Ensure to provide TPR Chart,TPR Charts
54,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
55,Ensure to provide reason for late submission of documents if there is any delay,Letter from Doctor or Hospital (Information)
56,Ensure to provide Interim Bill,Bill
56,Ensure to provide Admission Notes,Admission Notes
56,Ensure to provide all indoor papers,Indoor Papers
56,Ensure to provide Nurse Notes,Nurse Notes
56,Ensure to provide TPR Chart,TPR Charts
56,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
56,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
57,Ensure to provide a Case Summary on doctor's letter,Letter from Doctor or Hospital (Information)
57,Ensure to provide Admission Notes,Admission Notes
57,Ensure to provide all indoor papers,Indoor Papers
57,Ensure to provide Nurse Notes,Nurse Notes
57,Ensure to provide TPR Chart,TPR Charts
57,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
57,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
58,Ensure DOA and DOD on all documents are same,DOA DOD mismatched
59,Ensure to provide Admission Notes,Admission Notes
59,Ensure to provide all indoor papers,Indoor Papers
59,Ensure to provide Nurse Notes,Nurse Notes
59,Ensure to provide TPR Chart,TPR Charts
59,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
59,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
60,Ensure to provide final bills with insurer's name and payer's name mentioned,Bill
61,Ensure to provide Doctor Certification with indication for surgery,Letter from Doctor or Hospital (Information)
61,Ensure to provide Previous Consultation Papers,Previous Consultation Papers
62,Ensure to provide investigation reports to support diagnosis,Investigations
62,Ensure to provide Admission notes with advised line of treatment and planned type of anaesthesia,Admission Notes
63,Ensure to provide investigation reports to support diagnosis,Investigations
63,Doctor letter with history and indications,Letter from Doctor or Hospital (Information)
63,Ensure to provide Admission notes with line of treatment and Anaesthesia,Admission Notes
63,Ensure to provide all indoor papers,Indoor Papers
63,Ensure to provide Nurse Notes,Nurse Notes
63,Ensure to provide TPR Chart,TPR Charts
63,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
63,Ensure to provide Patient ID Proof for patient,KYC - Id Proof (Patient)
64,Ensure you have provided bill as per the agreed tariff or packages only,Bill
64,Ensure to provide Admission Notes,Admission Notes
64,Ensure to provide all indoor papers,Indoor Papers
64,Ensure to provide Nurse Notes,Nurse Notes
64,Ensure to provide TPR Chart,TPR Charts
64,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
65,Ensure to provide the Final Bill.,Bill
65,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
65,Ensure to provide Admission Certificate,Admission Certificate
65,Ensure to provide Hospital referral Letter,Hospital Referral Letters
66,Ensure to provide investigation reports to support diagnosis,Investigations
67,Ensure to provide investigation reports to support diagnosis,Investigations
67,Doctor Letter providing the reason for prolonged stay,Letter from Doctor or Hospital (Information)
68,Ensure to provide investigation reports to support diagnosis,Investigations
68,Ensure to provide all indoor papers,Indoor Papers
68,Ensure to provide Nurse Notes,Nurse Notes
68,Ensure to provide TPR Chart,TPR Charts
68,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
69,Ensure to provide investigation reports to support diagnosis,Investigations
69,Doctor Letter with duration of Ailment and Aetiology,Letter from Doctor or Hospital (Information)
69,Ensure to provide Admission Consultation papers,Admission Notes
70,Doctor Letter providing the reason for prolonged stay with case summary and  co morbidities,Letter from Doctor or Hospital (Information)
70,Ensure to provide Admission Notes,Admission Notes
70,Ensure to provide all indoor papers,Indoor Papers
70,Ensure to provide Nurse Notes,Nurse Notes
70,Ensure to provide TPR Chart,TPR Charts
70,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
70,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
71,Ensure to provide Admission Notes,Admission Notes
71,Ensure to provide all indoor papers,Indoor Papers
71,Ensure to provide Nurse Notes,Nurse Notes
71,Ensure to provide TPR Chart,TPR Charts
71,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
71,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
72,Doctor Certificate with Personal History and Aetiology,Letter from Doctor or Hospital (Information)
72,Ensure to provide Admission Notes,Admission Notes
72,Ensure to provide all indoor papers,Indoor Papers
72,Ensure to provide Nurse Notes,Nurse Notes
72,Ensure to provide TPR Chart,TPR Charts
72,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
72,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
73,Ensure to provided the bill as per government's rule agreed tariff or packages only,Bill
74,Ensure to provide Admission Notes,Admission Notes
74,Ensure to provide all indoor papers,Indoor Papers
74,Ensure to provide Nurse Notes,Nurse Notes
74,Ensure to provide TPR Chart,TPR Charts
74,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
74,"Kindly attach Patient paid deposit receipt clarifying amount paid towards patient's payable (NME, Co-pay etc.)",Patient Receipt
75,Ensure to provide cashless final bill with detailed breakup,Bill
76,Ensure to provide investigation reports to support diagnosis,Investigations
76,Doctor Letter with Aetiology,Letter from Doctor or Hospital (Information)
77,Ensure to provide investigation reports to support diagnosis,Investigations
77,Ensure to provide Previous Consultation Papers,Previous Consultation Papers
77,Ensure to provide Admission Notes,Admission Notes
77,Ensure to provide all indoor papers,Indoor Papers
77,Ensure to provide Nurse Notes,Nurse Notes
77,Ensure to provide TPR Chart,TPR Charts
77,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
77,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
78,Ensure you have provided bill as per the agreed tariff or packages only,Bill
79,Doctor Letter providing the reason for prolonged stay and co-morbidities,Letter from Doctor or Hospital (Information)
79,Ensure to provide Admission Notes,Admission Notes
79,Ensure to provide all indoor papers,Indoor Papers
79,Ensure to provide Nurse Notes,Nurse Notes
79,Ensure to provide TPR Chart,TPR Charts
79,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
80,Ensure to provide a self-declaration of patient explaining about incident,Self Declaration
81,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) ",KYC - Id Proof (Patient)
82,Ensure to provide investigation reports to support diagnosis,Investigations
83,Ensure to provide Recent Photocopy of Patient ID Proofand filled in KYC Form,KYC - Id Proof (Patient)
