topic,rep_idx,rep_ctfidf,rep_string,Count,Action
2,1,0.3897,cashless document,1,Ensure you have attached the Cashless Claim Form
2,2,0.36,provide cashless,1,
2,3,0.3141,remarks provide cashless,1,
2,4,0.2701,cashless claim,1,Ensure you have attached the Cashless Claim Form
2,5,0.2674,provide cashless document,1,
2,6,0.2614,cashless document processing,1,
2,7,0.2608,submit cashless,1,
2,8,0.2432,cashless final,1,Ensure to provide cashless final bill with detailed breakup
2,9,0.2387,provide cashless claim,1,Ensure you have attached the Cashless Claim Form
2,10,0.237,submit cashless final,1,Ensure to provide cashless final bill with detailed breakup
2,11,0.235,hospital submit cashless,1,
2,12,0.235,query hospital submit cashless,1,
2,13,0.234,hospital submit cashless final,1,Ensure to provide cashless final bill with detailed breakup
2,14,0.2312,cashless claim form,1,Ensure you have attached the Cashless Claim Form
2,15,0.23,query hospital submit,1,
2,16,0.2299,set cashless,1,
2,17,0.2292,letter remarks,1,
2,18,0.2291,hospital submit,1,
2,19,0.2282,query hospital,1,
3,0,0.3723,remarks submit,7,
3,1,0.3339,submit,7,
3,2,0.2829,post,7,
3,3,0.2697,submit ot note,7,Ensure to provide Detailed OT Notes with Anesthesia Notes
3,4,0.2696,submit ot,7,Ensure to provide Detailed OT Notes with Anesthesia Notes
3,5,0.2661,report remarks submit,7,
3,6,0.2617,remarks submit ot note,7,Ensure to provide Detailed OT Notes with Anesthesia Notes
3,7,0.2615,remarks submit ot,7,Ensure to provide Detailed OT Notes with Anesthesia Notes
3,8,0.2607,sign,7,
3,9,0.2489,sign remarks,7,
3,10,0.247,remarks enclose,7,
3,11,0.2435,post op,7,Ensure to provide X-ray post surgery
3,12,0.2433,seal,7,
3,13,0.2426,ot note,7,Ensure to provide Detailed OT Notes with Anesthesia Notes
3,14,0.2412,feedback form,7,Ensure to provide Beneficiary Feed back form
3,15,0.2412,feedback,7,Ensure to provide Beneficiary Feed back form
3,16,0.2404,op,7,
3,17,0.2387,submit discharge,7,
3,18,0.237,provide post,7,
3,19,0.2341,ot,7,Ensure to provide Detailed OT Notes with Anesthesia Notes
4,0,0.3871,remarks provide duration,2,Ensure to provide the duration of Ailment
4,1,0.3857,remarks provide duration ailment,2,Ensure to provide the duration of Ailment
4,2,0.3337,provide duration,2,
4,3,0.3327,admission advise,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,4,0.3327,consultation paper admission,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,5,0.3326,ailment consultation paper admission,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,6,0.3326,admission advise note,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,7,0.3325,advise note,2,
4,8,0.3325,paper admission advise,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,9,0.3325,consultation paper admission advise,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,10,0.3324,paper admission advise note,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,11,0.3323,advise,2,
4,12,0.3323,provide duration ailment,2,Ensure to provide the duration of Ailment
4,13,0.3322,ailment consultation,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,14,0.3322,ailment consultation paper,2,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment
4,15,0.3317,duration ailment consultation,2,Ensure to provide the duration of Ailment
4,16,0.3317,provide duration ailment consultation,2,Ensure to provide the duration of Ailment
4,17,0.3317,duration ailment consultation paper,2,Ensure to provide the duration of Ailment
4,18,0.3315,paper admission,2,
4,19,0.3305,duration ailment,2,Ensure to provide the duration of Ailment
5,0,0.4255,remarks share revised agreed,1,
5,1,0.4126,share revised agreed package,1,Ensure you have provided bill as per the agreed packages only
5,2,0.4117,share revised agreed,1,Ensure you have provided bill as per the agreed packages only
5,3,0.4087,remarks share revised,1,
5,4,0.3983,revised agreed package mou,1,Ensure you have provided bill as per the agreed packages only
5,5,0.3983,package mou excess,1,Ensure you have provided bill as per the agreed packages only
5,6,0.3983,package mou,1,Ensure you have provided bill as per the agreed packages only
5,7,0.3983,agreed package mou excess,1,Ensure you have provided bill as per the agreed packages only
5,8,0.3983,agreed package mou,1,Ensure you have provided bill as per the agreed packages only
5,9,0.3983,package mou excess collected,1,Ensure you have provided bill as per the agreed packages only
5,10,0.3983,mou excess,1,Ensure you have provided bill as per the agreed packages only
5,11,0.3983,mou excess collected,1,Ensure you have provided bill as per the agreed packages only
5,12,0.3983,mou excess collected patient,1,Ensure you have provided bill as per the agreed packages only
5,13,0.3982,excess collected patient,1,
5,14,0.3982,excess collected,1,
5,15,0.398,mou,1,Ensure you have provided bill as per the agreed packages only
5,16,0.3924,revised agreed package,1,Ensure you have provided bill as per the agreed packages only
5,17,0.3901,excess,1,
5,18,0.3811,revised agreed,1,Ensure you have provided bill as per the agreed packages only
5,19,0.3796,collected patient,1,
6,0,0.5149,remarks require final detailed,3,
6,1,0.5142,remarks require final,3,
6,2,0.5076,require final detailed breakup,3,Ensure to provide final bill with detailed breakup
6,3,0.5075,require final detailed,3,Ensure to provide final bill with detailed breakup
6,4,0.5063,require final,3,
6,5,0.505,remarks require,3,
6,6,0.4892,final detailed breakup,3,Ensure to provide final bill with detailed breakup
6,7,0.4866,final detailed,3,
6,8,0.4829,detailed breakup,3,Ensure to provide final bill with detailed breakup
6,9,0.4759,require,3,
6,10,0.4136,detailed breakup charge,3,Ensure to provide final bill with detailed breakup
6,11,0.4135,final detailed breakup charge,3,Ensure to provide final bill with detailed breakup
6,12,0.4129,breakup charge,3,Ensure to provide final bill with detailed breakup
6,13,0.3896,breakup,3,
6,14,0.3827,breakup charge provide,3,Ensure to provide final bill with detailed breakup
6,15,0.3827,detailed breakup charge provide,3,Ensure to provide final bill with detailed breakup
6,16,0.3619,charge provide,3,
6,17,0.2957,charge provide final,3,
6,18,0.2956,breakup charge provide final,3,Ensure to provide final bill with detailed breakup
6,19,0.2691,final,3,
7,0,0.3298,remarks provide detailed line,6,
7,1,0.3264,remarks provide detailed,6,
7,2,0.3107,provide detailed line treatment,6,
7,3,0.3105,provide detailed line,6,
7,4,0.2935,route drug administration,6,Ensure to provide Treatment or Medication or Drug chart
7,5,0.2933,route drug,6,Ensure to provide Treatment or Medication or Drug chart
7,6,0.2933,route,6,
7,7,0.2931,drug administration,6,Ensure to provide Treatment or Medication or Drug chart
7,8,0.2928,provide detailed,6,
7,9,0.2927,medicine route drug administration,6,Ensure to provide Treatment or Medication or Drug chart
7,10,0.2924,administration,6,
7,11,0.2924,treatment medicine,6,Ensure to provide Treatment or Medication or Drug chart
7,12,0.2921,detailed line treatment medicine,6,Ensure to provide Treatment or Medication or Drug chart
7,13,0.292,medicine route drug,6,Ensure to provide Treatment or Medication or Drug chart
7,14,0.292,treatment medicine route drug,6,Ensure to provide Treatment or Medication or Drug chart
7,15,0.292,line treatment medicine,6,Ensure to provide Treatment or Medication or Drug chart
7,16,0.2919,treatment medicine route,6,Ensure to provide Treatment or Medication or Drug chart
7,17,0.2919,line treatment medicine route,6,Ensure to provide Treatment or Medication or Drug chart
7,18,0.2919,medicine route,6,Ensure to provide Treatment or Medication or Drug chart
7,19,0.2788,medicine,6,
8,0,0.2518,schedule charge tariff revise,5,Ensure you have provided bill as per the agreed tariff or packages only
8,1,0.2516,charge tariff revise,5,Ensure you have provided bill as per the agreed tariff or packages only
8,2,0.2488,remarks provide revised medical,5,
8,3,0.2487,tariff revise,5,Ensure you have provided bill as per the agreed tariff or packages only
8,4,0.2484,remarks provide revised,5,
8,5,0.2248,schedule charge tariff,5,Ensure you have provided bill as per the agreed tariff or packages only
8,6,0.2248,agreed schedule charge tariff,5,Ensure you have provided bill as per the agreed tariff or packages only
8,7,0.2248,medical agreed schedule charge,5,Ensure you have provided bill as per the agreed tariff or packages only
8,8,0.2248,revised medical agreed schedule,5,Ensure you have provided bill as per the agreed tariff or packages only
8,9,0.2248,medical agreed schedule,5,Ensure you have provided bill as per the agreed tariff or packages only
8,10,0.2248,provide revised medical agreed,5,Ensure you have provided bill as per the agreed tariff or packages only
8,11,0.2248,schedule charge,5,Ensure you have provided bill as per the agreed tariff or packages only
8,12,0.2248,agreed schedule charge,5,Ensure you have provided bill as per the agreed tariff or packages only
8,13,0.2247,agreed schedule,5,Ensure you have provided bill as per the agreed tariff or packages only
8,14,0.2247,revised medical agreed,5,
8,15,0.2247,medical agreed,5,
8,16,0.2247,provide revised medical,5,
8,17,0.2246,schedule,5,Ensure you have provided bill as per the agreed tariff or packages only
8,18,0.2244,provide revised,5,
8,19,0.2242,charge tariff,5,Ensure you have provided bill as per the agreed tariff or packages only
9,0,0.3451,remarks provide letter treating,4,
9,1,0.3309,past medicalsurgical history,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,2,0.3308,past medicalsurgical,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,3,0.3305,past medicalsurgical history patient,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,4,0.3305,medicalsurgical history patient,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,5,0.3305,medicalsurgical history,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,6,0.3302,medicalsurgical,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,7,0.3292,stating significant,4,
9,8,0.3292,stating significant past,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,9,0.3292,significant past,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,10,0.3291,stating significant past medicalsurgical,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,11,0.3291,significant past medicalsurgical history,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,12,0.3291,significant past medicalsurgical,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,13,0.3291,patient duration,4,
9,14,0.329,medicalsurgical history patient duration,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,15,0.329,doctor stating significant past,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,16,0.329,treating doctor stating significant,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,17,0.329,doctor stating significant,4,
9,18,0.329,history patient duration,4,"Doctor Letter with detailed history, significant findings and line of treatment"
9,19,0.3289,duration supporting,4,
10,0,0.45,exact time,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,1,0.4491,exact time admission,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,2,0.4489,admission time,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,3,0.4488,letter hospital stating exact,2,
10,4,0.4488,hospital stating exact,2,
10,5,0.4488,remarks provide letter hospital,2,
10,6,0.4488,hospital stating exact time,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,7,0.4488,stating exact time admission,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,8,0.4488,stating exact time,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,9,0.4487,provide letter hospital stating,2,
10,10,0.4486,exact time admission time,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,11,0.4484,time admission time,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,12,0.4484,hospital stating,2,
10,13,0.4484,letter hospital stating,2,
10,14,0.4474,provide letter hospital,2,
10,15,0.4473,time admission,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
10,16,0.4451,stating exact,2,
10,17,0.4433,letter hospital,2,
10,18,0.4391,time,2,
10,19,0.4085,admission time discharge,2,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge
11,0,0.2487,remarks provide attested,8,
11,1,0.2487,remarks provide attested copy,8,
11,2,0.2055,doctor note surgery,8,Ensure to provide all indoor papers
11,3,0.2054,doctor note surgery note,8,Ensure to provide all indoor papers
11,4,0.2054,daily doctor note surgery,8,Ensure to provide all indoor papers
11,5,0.2053,admission note daily doctor,8,Ensure to provide all indoor papers
11,6,0.2053,note daily doctor note,8,Ensure to provide all indoor papers
11,7,0.2053,note daily doctor,8,Ensure to provide all indoor papers
11,8,0.2052,daily doctor note,8,Ensure to provide all indoor papers
11,9,0.2052,tpr chart,8,Ensure to provide TPR Chart
11,10,0.2052,daily doctor,8,Ensure to provide all indoor papers
11,11,0.205,treatment sheet nurse note,8,Ensure to attach Nurse Notes
11,12,0.205,sheet nurse note,8,Ensure to attach Nurse Notes
11,13,0.205,sheet nurse note tpr,8,Ensure to attach Nurse Notes
11,14,0.205,note tpr chart,8,Ensure to provide TPR Chart
11,15,0.205,nurse note tpr chart,8,Ensure to attach Nurse Notes
11,16,0.205,nurse note tpr,8,Ensure to attach Nurse Notes
11,17,0.205,surgery note treatment,8,Ensure to provide Detailed OT Notes with Anesthesia Notes
11,18,0.205,note surgery note treatment,8,Ensure to provide Detailed OT Notes with Anesthesia Notes
11,19,0.205,surgery note treatment sheet,8,Ensure to provide Treatment or Medication or Drug chart
12,0,0.3473,reason prolonged length,7,Doctor Letter providing the reason for prolonged stay
12,1,0.3473,reason prolonged length stay,7,Doctor Letter providing the reason for prolonged stay
12,2,0.3472,explaining reason prolonged,7,Doctor Letter providing the reason for prolonged stay
12,3,0.3472,prolonged length stay specific,7,Doctor Letter providing the reason for prolonged stay
12,4,0.3472,length stay specific inpatient,7,Doctor Letter providing the reason for prolonged stay
12,5,0.3472,stay specific inpatient,7,
12,6,0.3472,stay specific,7,
12,7,0.3472,length stay specific,7,Doctor Letter providing the reason for prolonged stay
12,8,0.3472,specific inpatient,7,
12,9,0.3472,letter explaining reason prolonged,7,Doctor Letter providing the reason for prolonged stay
12,10,0.3472,doctor letter explaining reason,7,
12,11,0.3472,explaining reason prolonged length,7,Doctor Letter providing the reason for prolonged stay
12,12,0.3471,letter explaining reason,7,
12,13,0.3471,doctor letter explaining,7,
12,14,0.3468,letter explaining,7,
12,15,0.3468,explaining reason,7,
12,16,0.3462,prolonged length stay,7,Doctor Letter providing the reason for prolonged stay
12,17,0.3461,prolonged length,7,Doctor Letter providing the reason for prolonged stay
12,18,0.3445,specific,7,
12,19,0.3428,reason prolonged,7,
13,0,0.2212,diagnosis revise,1,
13,1,0.2207,support diagnosis revise,1,Ensure to provide investigation reports to support diagnosis
13,2,0.2207,record support diagnosis revise,1,Ensure to provide investigation reports to support diagnosis
13,3,0.1727,tariff provide supportive,1,Ensure you have provided bill as per the agreed tariff or packages only
13,4,0.172,tariff provide supportive investigation,1,Ensure you have provided bill as per the agreed tariff or packages only
13,5,0.1643,charge tariff remarks provide,1,Ensure you have provided bill as per the agreed tariff or packages only
13,6,0.1639,tariff remarks provide supportive,1,Ensure you have provided bill as per the agreed tariff or packages only
13,7,0.1625,schedule charge tariff remarks,1,Ensure you have provided bill as per the agreed tariff or packages only
13,8,0.1595,charge tariff remarks,1,Ensure you have provided bill as per the agreed tariff or packages only
13,9,0.1541,charge tariff provide supportive,1,Ensure you have provided bill as per the agreed tariff or packages only
13,10,0.1477,tariff remarks provide,1,Ensure you have provided bill as per the agreed tariff or packages only
13,11,0.1474,tariff provide,1,Ensure you have provided bill as per the agreed tariff or packages only
13,12,0.1441,agreed schedule,1,Ensure you have provided bill as per the agreed tariff or packages only
13,13,0.144,schedule,1,
13,14,0.144,agreed schedule charge tariff,1,Ensure you have provided bill as per the agreed tariff or packages only
13,15,0.144,schedule charge tariff,1,Ensure you have provided bill as per the agreed tariff or packages only
13,16,0.144,medical agreed schedule charge,1,Ensure you have provided bill as per the agreed tariff or packages only
13,17,0.144,medical agreed schedule,1,Ensure you have provided bill as per the agreed tariff or packages only
13,18,0.144,revised medical agreed schedule,1,Ensure you have provided bill as per the agreed tariff or packages only
13,19,0.1439,schedule charge,1,Ensure you have provided bill as per the agreed tariff or packages only
14,0,0.2979,schedule charge tariff provide,1,Ensure you have provided bill as per the agreed tariff or packages only
14,1,0.2976,charge tariff provide,1,Ensure you have provided bill as per the agreed tariff or packages only
14,2,0.2912,remarks provide revised medical,1,Ensure you have provided bill as per the agreed tariff or packages only
14,3,0.2905,remarks provide revised,1,
14,4,0.2845,package remarks provide revised,1,Ensure you have provided bill as per the agreed tariff or packages only
14,5,0.2832,tariff provide,1,Ensure you have provided bill as per the agreed tariff or packages only
14,6,0.2823,procedure remarks provide revised,1,
14,7,0.2615,package remarks provide,1,Ensure you have provided bill as per the agreed tariff or packages only
14,8,0.2545,provide revised medical,1,Ensure you have provided bill as per the agreed tariff or packages only
14,9,0.2545,medical agreed,1,Ensure you have provided bill as per the agreed tariff or packages only
14,10,0.2543,revised medical agreed,1,Ensure you have provided bill as per the agreed tariff or packages only
14,11,0.2542,tariff remarks provide revised,1,Ensure you have provided bill as per the agreed tariff or packages only
14,12,0.2541,provide revised medical agreed,1,Ensure you have provided bill as per the agreed tariff or packages only
14,13,0.2541,agreed schedule,1,Ensure you have provided bill as per the agreed tariff or packages only
14,14,0.254,revised medical agreed schedule,1,Ensure you have provided bill as per the agreed tariff or packages only
14,15,0.254,medical agreed schedule,1,Ensure you have provided bill as per the agreed tariff or packages only
14,16,0.254,schedule charge,1,Ensure you have provided bill as per the agreed tariff or packages only
14,17,0.254,agreed schedule charge,1,Ensure you have provided bill as per the agreed tariff or packages only
14,18,0.254,schedule,1,
14,19,0.2539,schedule charge tariff,1,Ensure you have provided bill as per the agreed tariff or packages only
15,0,0.5349,breakup hospital,2,Ensure to provide final bill with detailed breakup
15,1,0.5332,breakup hospital mainfinal original,2,Ensure to provide final bill with detailed breakup
15,2,0.5332,breakup hospital mainfinal,2,Ensure to provide final bill with detailed breakup
15,3,0.5256,remarks breakup hospital,2,Ensure to provide final bill with detailed breakup
15,4,0.5256,remarks breakup hospital mainfinal,2,Ensure to provide final bill with detailed breakup
15,5,0.5253,remarks breakup,2,Ensure to provide final bill with detailed breakup
15,6,0.521,mainfinal original,2,Ensure to provide final bill with detailed breakup
15,7,0.521,mainfinal,2,
15,8,0.521,hospital mainfinal original,2,
15,9,0.521,hospital mainfinal,2,
15,10,0.4448,original,2,
15,11,0.4123,mainfinal original provide,2,
15,12,0.4123,hospital mainfinal original provide,2,
15,13,0.3975,breakup,2,
15,14,0.3872,original provide,2,
15,15,0.2703,mainfinal original provide final,2,
15,16,0.2702,hospital mainfinal original enclose,2,
15,17,0.2702,mainfinal original enclose,2,
15,18,0.2683,break,2,
15,19,0.263,original enclose,2,
16,0,0.2605,diagnosis provide final,7,
16,1,0.2601,discharge remarks provide supportive,7,Ensure to provide investigation reports to support diagnosis
16,2,0.2593,support diagnosis provide final,7,Ensure to provide investigation reports to support diagnosis
16,3,0.2451,diagnosis provide final discharge,7,
16,4,0.2299,final discharge,7,
16,5,0.2292,final discharge summary,7,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
16,6,0.2289,remarks provide supportive investigation,7,Ensure to provide investigation reports to support diagnosis
16,7,0.2289,remarks provide supportive,7,Ensure to provide investigation reports to support diagnosis
16,8,0.2245,summary remarks provide supportive,7,Ensure to provide investigation reports to support diagnosis
16,9,0.2239,diagnosis provide discharge,7,
16,10,0.2239,support diagnosis provide discharge,7,Ensure to provide investigation reports to support diagnosis
16,11,0.2196,discharge summary final,7,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
16,12,0.219,summary final,7,
16,13,0.2181,diagnosis provide discharge summary,7,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
16,14,0.2147,diagnosis doa,7,
16,15,0.2147,support diagnosis doa,7,Ensure to provide investigation reports to support diagnosis
16,16,0.2147,record support diagnosis doa,7,Ensure to provide investigation reports to support diagnosis
16,17,0.2077,changed,7,
16,18,0.2035,provide final discharge,7,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
16,19,0.2028,discharge remarks provide,7,
17,0,0.3781,provide kyc,1,Ensure to provide the patient's ID Proof with address
17,1,0.3764,policy holder,1,Ensure to provide Policy holder's PAN card
17,2,0.3753,pan card copy employee,1,Ensure to provide Policy holder's PAN card
17,3,0.3753,card copy employee,1,Ensure to provide Policy holder's PAN card
17,4,0.3752,copy employee,1,Ensure to provide Policy holder's PAN card
17,5,0.3752,holder,1,
17,6,0.3749,claimed greater,1,Ensure to provide Policy holder's PAN card
17,7,0.3749,greater,1,
17,8,0.3748,card copy employee policy,1,Ensure to provide Policy holder's PAN card
17,9,0.3748,copy employee policy,1,Ensure to provide Policy holder's PAN card
17,10,0.3748,employee policy,1,
17,11,0.3746,employee,1,
17,12,0.374,id proof pan card,1,Ensure to provide the patient's ID Proof with address
17,13,0.374,id proof pan,1,Ensure to provide the patient's ID Proof with address
17,14,0.374,proof pan card copy,1,Ensure to provide the patient's ID Proof with address
17,15,0.3739,provide kyc patient,1,Ensure to provide the patient's ID Proof with address
17,16,0.3739,kyc patient id proof,1,Ensure to provide the patient's ID Proof with address
17,17,0.3739,patient id proof pan,1,Ensure to provide the patient's ID Proof with address
17,18,0.3739,kyc patient id,1,Ensure to provide the patient's ID Proof with address
17,19,0.3739,provide kyc patient id,1,Ensure to provide the patient's ID Proof with address
18,0,0.5114,beneficiary driving,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,1,0.5114,beneficiary driving licence,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,2,0.5114,primary beneficiary driving,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,3,0.5114,primary beneficiary driving licence,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,4,0.5113,proof primary beneficiary driving,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,5,0.5109,driving licence voter id,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,6,0.5108,driving licence voter,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,7,0.5108,licence voter id,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,8,0.5107,beneficiary driving licence voter,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,9,0.5107,licence voter,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,10,0.5102,licence voter id passport,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,11,0.4965,id passport,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,12,0.496,id passport adhar,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,13,0.496,passport adhar card,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,14,0.496,id passport adhar card,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,15,0.496,passport adhar,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,16,0.496,voter id passport adhar,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
18,17,0.4952,voter id passport,5,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) "
